taxon	min	max
Abscondita_cerata	0.0	0.0
Ampedus_pomonae	0.0	0.0
Amydetes_fastigiata	0.0	0.0
Aspisoma_sp	0.0	0.0
Aspisoma_sticticum	0.0	0.0
Asymmetrica_circumdata	0.0	0.0
Atyphella_flammulans	0.0	0.0
Australoluciola_nigra	0.0	0.0
Australoluciola_sp	0.0	0.0
Bicellonycha_sp_1	0.0	0.0
Bicellonycha_sp_2	0.0	0.0
Calopteron_reticulatum	0.0	0.0
Cantharidae_sp_1	0.0	0.0
Cantharidae_sp_2	0.0	0.0
Cladodes_illigeri	0.0	0.0
Cratomorphus_sp	0.0	0.0
Curtos_bilineatus	0.0	0.0
Curtos_obsuricolor	0.0	0.0
Curtos_sp	0.0	0.0
Diaphanes_pectinealis	0.0	0.0
Diaphanes_sp_1	0.0	0.0
Diaphanes_sp_2	0.0	0.0
Diaphanes_sp_3	0.0	0.0
Diaphanes_sp_4	0.0	0.0
Drilaster_sp	0.0	0.0
Ellychnia_corrusca	0.0	0.0
Ellychnia_sp	0.0	0.0
Emeia_pseudosauteri	0.0	0.0
Ethra_axillaris	0.0	0.0
Heterophotinus_sp	0.0	0.0
Lamprigera_yunnana	0.0	0.0
Lamprocera_sp_1	0.0	0.0
Lamprocera_sp_2	0.0	0.0
Lamprocera_sp_3	0.0	0.0
Lamprocera_sp_4	0.0	0.0
Lamprohiza_splendidula	0.0	0.0
Lampyris_noctiluca	0.0	0.0
Lloydiella_uberia	0.0	0.0
Lucidota_atra	0.0	0.0
Lucio_blattinum	0.0	0.0
Luciola_sp_1	0.0	0.0
Luciola_sp_2	0.0	0.0
Luciolinae_nr_Luciola_1	0.0	0.0
Luciolinae_nr_Luciola_2	0.0	0.0
Luciolinae_nr_Luciola_3	0.0	0.0
Luciolinae_nr_Luciola_4	0.0	0.0
Luciolinae_sp	0.0	0.0
Lychnacris_sp	0.0	0.0
Memoan_ciceroi	0.0	0.0
Microphotus_sp	0.0	0.0
Microrhagus_pygmaeus	0.0	0.0
Petalacmis_sp	0.0	0.0
Phausis_reticulata	0.0	0.0
Phengodes_sp	0.0	0.0
Phosphaenopterus_sp	0.0	0.0
Photinini_sp_	0.0	0.0
Photinus_ardens	0.0	0.0
Photinus_australis	0.0	0.0
Photinus_brimleyi	0.0	0.0
Photinus_carolinus	0.0	0.0
Photinus_floridanus	0.0	0.0
Photinus_granulatus	0.0	0.0
Photinus_macdermotti_1	0.0	0.0
Photinus_macdermotti_2	0.0	0.0
Photinus_pyralis	0.0	0.0
Photinus_sp_1	0.0	0.0
Photinus_sp_2	0.0	0.0
Photinus_stellaris	0.0	0.0
Photuris_congener	0.0	0.0
Photuris_divisia	0.0	0.0
Photuris_frontalis	0.0	0.0
Photuris_quadrifulgens	0.0	0.0
Pleotomodes_needhami	0.0	0.0
Pollaclasis_bifaria	0.0	0.0
Psilocladus_sigillatus	0.0	0.0
Psilocladus_sp_1	0.0	0.0
Psilocladus_sp_2	0.0	0.0
Pteroptyx_sp	0.0	0.0
Pterotus_obscuripennis	0.0	0.0
Pygoluciola_qinqyu	0.0	0.0
Pyractomena_borealis	0.0	0.0
Pyractonema_sp_1	0.0	0.0
Pyractonema_sp_2	0.0	0.0
Pyrocoelia_pygidialis	0.0	0.0
Pyrogaster_sp	0.0	0.0
Pyrophorous_sp	0.0	0.0
Pyropyga_decipiens	0.0	0.0
Pyropyga_nigricans	0.0	0.0
Rhagophthalmus_ohbai	0.0	0.0
Scissicauda_disjuncta	0.0	0.0
Stenocladius_shirakii	0.0	0.0
Telegeusis_nubifer	0.0	0.0
Tenaspis_angularis	0.0	0.0
Trisinuata_sp	0.0	0.0
Vesta_impressicollis	0.0	0.0
Vesta_saturnalis	0.0	0.0
Vesta_sp	0.0	0.0
Zarhipis_integripennis	0.0	0.0
Lampyris_orciluca	11.608	12.7
Lamprohiza_fossilis	23.03	28.4
Lucidota_prima	33.9	37.2
Photinus_kazantsevi	33.9	37.2
